Pathway_ID	ATCC13985	ATCC43928	KBS0701	KBS0702	KBS0703	KBS0705	KBS0706	KBS0707	KBS0710	KBS0711	KBS0712	KBS0714	KBS0715	KBS0721	KBS0722	KBS0724	KBS0725	KBS0801	KBS0802	KBS0812
M00710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00713	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0
M00714	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0
M00715	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1
M00717	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1
M00718	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0
M00721	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00722	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00723	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00724	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00727	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
M00728	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
M00729	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00741	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0
M00742	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00743	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00744	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00745	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
M00754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00761	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
M00762	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M00765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00766	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
M00768	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M00769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M00770	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
M00771	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00790	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M00793	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
M00808	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M00809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00813	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
